Case #,Subject,Status,Severity,Date/Time Opened,Link,Key Details
234145,[EXT] Company logo,Open,Low,10/30/2023 8:23 AM,https://cynet.my.site.com/Community/s/case/5006700002xOu33AAC/external-company-logo,User asked if the company logo could be displayed on the Cynet platform
239890,CLM: CEF logs via TCP,Open,Medium,12/7/2023 5:25 PM,https://cynet.my.site.com/Community/s/case/5006700002yNPRoAAO/clm-support-for-cef-logs-to-use-tcp-for-secure-transit-into-logstash,Request to support encrypted TCP transmission of CEF logs for secure transit; concerns over unencrypted UDP
243921,Auto report for EPS not connected,Open,Low,1/5/2024 4:29 PM,https://cynet.my.site.com/Community/s/case/50067000030v3yaAAA/automatic-report-for-eps-not-connected,Customer wants an automatic report listing endpoints whose EPS agents are not communicating
248429,Linux anti‑tamper (temporary),Open,High,1/31/2024 1:49 PM,https://cynet.my.site.com/Community/s/case/500TX000002Wvq1YAC/rfe-linux-anti-tampering-eps-temporary,Request for a watchdog script to restart the Cynet agent on Linux until anti‑tampering protection is available
329368,RFE: XDR alerts for FortiAnalyzer,Open,Low,1/17/2025 4:25 PM,https://cynet.my.site.com/Community/s/case/500TX00000EUospYAD/rfe-xdr-alerts-for-fortianalyzer,Feature request: Add XDR alerting for logs ingested from FortiAnalyzer
374603,RFE: Synology NAS as CLM source,Open,Medium,7/31/2025 12:01 AM,https://cynet.my.site.com/Community/s/case/500TX00000M7hdDYAR/rfe-synology-nas-data-source-for-clm,Request to ingest logs from Synology NAS as a data source for the CLM module
374610,RFE: Activate host description field,New,Low,7/31/2025 12:08 AM,https://cynet.my.site.com/Community/s/case/500TX00000M7qwZYAR/rfe-activate-field-host-description-in-forensic,Request to populate the “Host Description” field in the forensic view to better identify hosts/users
378925,RFE: Host notes field in Forensics,In Progress,Low,8/13/2025 8:45 AM,https://cynet.my.site.com/Community/s/case/500TX00000MgBsDYAF/rfe-provide-a-host-field-in-forensics-where-users-can-enter-notes,Request to add a user‑editable notes field for hosts in the forensic interface
404045,BVC POC tests not reporting alerts,Pending Closure,Medium,10/31/2025 3:09 PM,https://cynet.my.site.com/Community/s/case/500TX00000QNstbYAD/tests-at-bvc-poc-not-reporting-alerts,"POC test files (encryption script, registry edit) did not trigger alerts; customer wants to know why"
405142,Fortigate firewalls across countries,Pending Session,High,11/5/2025 11:22 AM,https://cynet.my.site.com/Community/s/case/500TX00000Qg0sgYAB/fortigate-firewalls-in-different-countries,Need guidance integrating multiple Fortigate firewalls located in different countries into CLM
423888,Ethical hacking & reverse shell,In Progress,Low,12/21/2025 5:17 PM,https://cynet.my.site.com/Community/s/case/500TX00000TAcX2YAL/ethical-hacking-reverse-shell,Internal ethical hacking test: reverse shell and spyware not detected; customer wants to understand why
426496,[EXT] Report All‑In‑One Dashboard,New,Low,12/31/2025 11:56 AM,https://cynet.my.site.com/Community/s/case/500TX00000TXr3GYAT/external-report-all-in-one-dashbaord,Request for a report replicating the All‑in‑One Dashboard summarising open alerts and resolution progress
432689,Endpoints reported inactive; upgrade issues,Pending Response,High,1/15/2026 1:29 PM,https://cynet.my.site.com/Community/s/case/500TX00000UEuYwYAL/endpoints-falsely-reported-as-inactive-agent-autoupgrade-not-working-and-forced-uninstall,Around 40 endpoints flagged as inactive; agents aren’t upgrading; need forced uninstall and root‑cause analysis
432700,AWS STS AssumeRole support request,In Progress,Low,1/15/2026 2:08 PM,https://cynet.my.site.com/Community/s/case/500TX00000UEwqwYAD/security-request-support-for-aws-sts-assumerole-with-externalid-for-cspm-integration,Request to support AWS STS AssumeRole with ExternalId for CSPM integration to avoid static keys
435289,Remove EPS after PoC,Pending Response,High,1/22/2026 3:06 PM,https://cynet.my.site.com/Community/s/case/500TX00000Uagh5YAB/remove-eps-from-a-host-after-poc-ended,PoC console was deleted; need help removing EPS agents without an uninstall password
